_id,year,pf_id,facility,pollutant,tons_per_yr,ghg,hap,criteria,sulfur,current,lat,lon
1,2010.0,737247.0,Eurovia,Ammonia,0.01,0,0,1,0,1,40.37333,-80.11417
2,2010.0,737247.0,Eurovia,Arsenic,0.0,0,1,0,0,1,40.37333,-80.11417
3,2010.0,737247.0,Eurovia,Cadmium,0.0,0,1,0,0,1,40.37333,-80.11417
4,2010.0,737247.0,Eurovia,Carbon Monoxide,17.93,0,0,1,0,1,40.37333,-80.11417
5,2010.0,737247.0,Eurovia,Chromium,0.01,0,1,0,0,1,40.37333,-80.11417
6,2010.0,737247.0,Eurovia,Formaldehyde,0.0,0,1,0,0,1,40.37333,-80.11417
7,2010.0,737247.0,Eurovia,Hexane,0.01,0,1,0,0,1,40.37333,-80.11417
8,2010.0,737247.0,Eurovia,Manganese,0.0,0,1,0,0,1,40.37333,-80.11417
9,2010.0,737247.0,Eurovia,Mercury,0.0001,0,1,0,0,1,40.37333,-80.11417
10,2010.0,737247.0,Eurovia,Methane,0.01,1,0,0,0,1,40.37333,-80.11417
11,2010.0,737247.0,Eurovia,Naphthalene,0.07,0,1,0,0,1,40.37333,-80.11417
12,2010.0,737247.0,Eurovia,Nickel,0.01,0,1,0,0,1,40.37333,-80.11417
13,2010.0,737247.0,Eurovia,Nitrogen Oxides,6.57,0,0,1,0,1,40.37333,-80.11417
14,2010.0,737247.0,Eurovia,"Particulate Matter < 10 Microns, Filterable",0.18,0,0,1,0,1,40.37333,-80.11417
15,2010.0,737247.0,Eurovia,"Particulate Matter < 2.5 Microns, Filterable",0.13,0,0,1,0,1,40.37333,-80.11417
16,2010.0,737247.0,Eurovia,Selenium,0.0,0,1,0,0,1,40.37333,-80.11417
17,2010.0,737247.0,Eurovia,Sulfur Oxides,6.96,0,0,1,0,1,40.37333,-80.11417
18,2010.0,737247.0,Eurovia,Volatile Organic Compounds,1.43,0,0,1,0,1,40.37333,-80.11417
19,2010.0,737247.0,Eurovia,Xylenes (Isomers And Mixture),0.12,0,1,0,0,1,40.37333,-80.11417
20,2010.0,737248.0,Universal Stainless & Alloy Products,Carbon Monoxide,107.13,0,0,1,0,1,40.365268,-80.097299
21,2010.0,737248.0,Universal Stainless & Alloy Products,Chromium,0.43,0,1,0,0,1,40.365268,-80.097299
22,2010.0,737248.0,Universal Stainless & Alloy Products,Lead,0.0192,0,1,1,0,1,40.365268,-80.097299
23,2010.0,737248.0,Universal Stainless & Alloy Products,Nickel,0.18,0,1,0,0,1,40.365268,-80.097299
24,2010.0,737248.0,Universal Stainless & Alloy Products,Nitrogen Oxides,56.73,0,0,1,0,1,40.365268,-80.097299
25,2010.0,737248.0,Universal Stainless & Alloy Products,"Particulate Matter < 10 Microns, Filterable",24.12,0,0,1,0,1,40.365268,-80.097299
26,2010.0,737248.0,Universal Stainless & Alloy Products,"Particulate Matter < 2.5 Microns, Filterable",17.58,0,0,1,0,1,40.365268,-80.097299
